"id";"montante";"tipo";"data_hora_transacao";"origem_fk";"destino_fk"
1;179.49;"PIX";"2021-12-05 14:40:18";446;21
2;240.71;"DOC";"2021-05-03 02:14:10";589;199
3;270.05;"DOC";"2021-06-30 17:13:59";133;3
4;575.58;"DOC";"2021-05-08 15:21:50";728;540
5;654.36;"TED";"2021-02-25 21:32:22";874;339
6;589.94;"TED";"2021-04-03 19:12:07";513;623
7;915.57;"TED";"2021-10-04 00:34:46";583;530
8;785.41;"TED";"2021-01-22 21:33:50";666;700
9;687.39;"TED";"2021-03-06 13:57:18";13;279
10;549.22;"DOC";"2021-01-07 19:42:59";692;397
11;210.88;"TED";"2021-02-25 11:14:36";99;236
12;105.48;"DOC";"2021-03-10 05:25:07";654;484
13;639.03;"PIX";"2022-05-17 01:36:08";639;567
14;905.12;"PIX";"2022-04-29 09:37:55";230;809
15;574.83;"PIX";"2022-02-09 19:12:53";227;202
16;355.58;"DOC";"2022-04-01 14:23:57";516;271
17;629.69;"TED";"2022-05-25 13:57:47";135;892
18;773.81;"DOC";"2021-02-13 03:13:21";615;838
19;400.31;"TED";"2022-03-30 01:36:43";779;49
20;349.60;"DOC";"2021-01-09 16:17:05";309;268
21;798.01;"DOC";"2022-04-23 05:26:01";621;352
22;721.62;"DOC";"2022-03-28 00:15:47";241;373
23;772.43;"DOC";"2022-04-09 10:37:53";321;325
24;636.59;"DOC";"2022-03-19 15:04:34";846;343
25;578.67;"DOC";"2021-07-30 23:27:50";794;116
26;475.51;"DOC";"2021-07-07 10:06:31";531;302
27;264.00;"PIX";"2021-02-25 11:11:17";462;192
28;772.51;"PIX";"2022-01-23 01:08:46";469;291
29;631.20;"TED";"2021-01-01 01:26:59";872;365
30;698.67;"TED";"2021-07-18 08:24:18";471;107
31;205.90;"PIX";"2021-12-27 09:13:59";728;405
32;951.18;"TED";"2021-01-28 23:13:29";461;549
33;185.63;"PIX";"2021-12-24 10:13:40";773;565
34;875.21;"TED";"2021-11-13 18:30:04";626;49
35;390.67;"PIX";"2021-11-28 04:49:28";38;823
36;380.16;"TED";"2022-04-30 07:47:49";700;871
37;87.45;"TED";"2021-03-23 09:38:03";153;284
38;524.86;"DOC";"2022-03-22 11:09:02";278;168
39;909.95;"TED";"2021-05-12 01:02:04";229;461
40;926.04;"TED";"2022-03-22 16:23:18";485;560
41;652.37;"PIX";"2021-09-05 02:43:45";518;61
42;345.40;"DOC";"2021-05-28 05:26:36";280;44
43;763.25;"TED";"2021-08-31 18:47:17";755;186
44;315.05;"PIX";"2022-05-15 21:21:24";835;24
45;672.15;"TED";"2021-08-23 12:24:35";405;796
46;407.53;"PIX";"2022-05-09 08:01:51";698;765
47;757.23;"DOC";"2021-01-02 17:55:34";876;3
48;387.13;"PIX";"2021-12-23 11:21:51";717;453
49;522.74;"PIX";"2021-12-11 15:23:11";108;358
50;859.78;"DOC";"2021-12-18 18:54:03";418;185
51;235.79;"DOC";"2021-07-14 08:43:18";191;206
52;388.85;"PIX";"2021-09-13 01:25:49";68;476
53;720.75;"PIX";"2022-01-19 06:38:49";143;467
54;690.23;"DOC";"2021-08-19 02:11:32";690;130
55;129.45;"PIX";"2022-05-02 19:57:45";601;867
56;246.39;"PIX";"2021-07-04 06:17:22";172;430
57;835.11;"PIX";"2022-04-26 05:36:41";79;670
58;398.60;"DOC";"2022-03-02 09:23:05";393;199
59;326.16;"DOC";"2022-01-31 21:55:50";223;810
60;751.18;"PIX";"2021-10-28 06:59:45";649;666
61;316.46;"PIX";"2021-03-17 09:10:29";6;688
62;765.23;"TED";"2021-02-08 08:06:41";617;309
63;298.95;"DOC";"2022-02-28 13:30:24";368;633
64;583.32;"DOC";"2021-06-14 13:38:54";691;290
65;627.99;"PIX";"2021-08-28 11:16:37";754;230
66;850.86;"TED";"2021-12-28 13:03:58";544;168
67;703.15;"TED";"2021-08-26 18:44:13";421;821
68;861.08;"TED";"2021-11-04 14:59:08";261;258
69;89.44;"TED";"2021-07-19 12:31:52";648;656
70;833.42;"DOC";"2022-02-04 12:02:15";355;270
71;6.41;"TED";"2021-06-25 23:10:00";458;696
72;326.13;"DOC";"2022-05-07 12:41:46";529;857
73;739.99;"TED";"2021-06-29 11:54:13";382;204
74;734.56;"DOC";"2021-07-01 04:03:48";737;104
75;537.06;"TED";"2021-03-25 08:52:23";411;182
76;946.66;"TED";"2021-02-20 16:19:22";451;350
77;576.77;"PIX";"2021-02-28 16:53:50";126;45
78;781.11;"TED";"2021-08-13 06:55:59";172;304
79;437.01;"DOC";"2021-01-27 15:34:39";783;475
80;532.82;"DOC";"2021-09-30 06:51:11";398;852
81;640.66;"PIX";"2022-03-11 06:01:51";812;307
82;488.94;"PIX";"2021-09-06 09:43:23";176;451
83;761.70;"PIX";"2021-11-20 16:54:36";695;737
84;874.17;"PIX";"2021-10-15 15:04:06";790;565
85;456.70;"TED";"2021-09-11 12:51:30";238;535
86;56.87;"DOC";"2021-08-18 19:34:10";254;584
87;37.96;"PIX";"2021-07-17 17:43:28";430;402
88;697.20;"PIX";"2021-09-05 19:02:40";837;617
89;700.36;"TED";"2022-03-27 10:50:19";170;245
90;899.99;"DOC";"2021-02-11 01:24:22";498;887
91;607.29;"TED";"2021-10-15 11:16:26";840;868
92;456.32;"TED";"2021-11-06 06:10:27";682;199
93;342.77;"PIX";"2022-02-15 23:27:22";211;239
94;700.93;"PIX";"2021-04-12 14:09:11";499;761
95;383.28;"TED";"2022-05-26 10:21:13";132;615
